 LAP_NUMBER,LAP_TIME, S1, S2, S3, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,Sum of Sheet1 (2).AIR_TEMP,Sum of Sheet1 (2).TRACK_TEMP,Sum of Sheet1 (2).HUMIDITY,Sum of Sheet1 (2).PRESSURE,Sum of Sheet1 (2).WIND_SPEED,Sum of Sheet1 (2).WIND_DIRECTION,ACO,AL,ALOTTE,AS,EMORT,J,JVER,LGRA,MEV,MNT,N,NN,NVR,NL,OROWL,OTUR,PWEHRL,RFRI,RR,SB,SBU,SVANDOO,SM,TB,250,Qualifying Group 1,Qualifying Group 2,Qualifying Group 3,Qualifying Group 4
1,99,117.2,37.635,44.647,61,199.5,679.5,117.2,37.6,44.6,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2,118,25.366,32.799,41.778,121.7,299.4,779.4,25.4,32.8,41.8,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1,91,39.891,37.855,46.391,98,124.1,604.1,39.9,37.9,46.4,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,135,27.375,35.179,45.216,112.9,231.9,711.9,27.4,35.2,45.2,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
3,95,24.836,32.667,41.738,122.6,331.1,811.1,24.8,32.7,41.7,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,74,33.799,37.433,46.082,103.7,117.3,1557.3,33.8,37.4,46.1,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,165,27.839,36.143,45.679,111,227,1667,27.8,36.1,45.7,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,107,24.96,32.712,41.676,122.5,326.3,1766.3,25,32.7,41.7,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,89,99.6,36.407,43.292,67.9,179.3,1619.3,99.6,36.4,43.3,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,97,25.108,32.519,41.441,122.8,278.4,1718.4,25.1,32.5,41.4,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,149,34.788,38.221,45.628,102.6,118.6,1558.6,34.8,38.2,45.6,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,117,27.568,36.217,47.296,109.5,229.7,1669.7,27.6,36.2,47.3,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,69,40.993,38.111,45.755,97.5,124.9,1564.9,41,38.1,45.8,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,85,27.759,35.04,47.777,110,235.4,1675.4,27.8,35,47.8,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,113,25.016,33.201,41.545,122,335.2,1775.2,25,33.2,41.5,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,85,35.798,38.105,45.498,101.9,119.4,1559.4,35.8,38.1,45.5,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,79,27.627,36.312,47.996,108.7,231.3,1671.3,27.6,36.3,48,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
3,85,25.171,32.89,42.059,121.5,331.5,1771.5,25.2,32.9,42.1,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,94,37.885,37.886,46.984,99.1,122.8,1562.8,37.9,37.9,47,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,102,28.426,35.436,47.369,109.4,234,1674,28.4,35.4,47.4,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,71,25.185,32.615,41.943,122,333.7,1773.7,25.2,32.6,41.9,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,73,36.213,37.194,45.101,102.7,118.5,1078.5,36.2,37.2,45.1,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,85,26.517,35.238,48.713,110.1,229,1189,26.5,35.2,48.7,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,76,24.862,32.545,41.643,122.8,328,1288,24.9,32.5,41.6,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,90,35.933,36.965,45.326,102.9,118.2,1078.2,35.9,37,45.3,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,120,26.445,35.087,47.534,111.6,227.3,1187.3,26.4,35.1,47.5,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,99,24.84,32.513,41.713,122.8,326.4,1286.4,24.8,32.5,41.7,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,94,36.825,37.285,45.317,101.9,119.4,1079.4,36.8,37.3,45.3,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,118,26.502,35.195,51.288,107.7,232.4,1192.4,26.5,35.2,51.3,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,109,25.292,32.725,42.439,121.1,332.9,1292.9,25.3,32.7,42.4,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,168,128.2,36.198,43.372,58.6,207.8,1167.8,128.2,36.2,43.4,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,96,25.288,32.733,41.808,121.9,307.6,1267.6,25.3,32.7,41.8,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,90,36.418,37.187,45.349,102.3,119,1079,36.4,37.2,45.3,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,99,26.665,34.956,50.018,109,230.6,1190.6,26.7,35,50,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,90,24.803,32.334,41.49,123.4,329.2,1289.2,24.8,32.3,41.5,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,90,140.5,37.305,46.091,54.3,223.9,1183.9,140.5,37.3,46.1,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2,69,25.09,32.368,41.505,123,322.9,1282.9,25.1,32.4,41.5,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,89,110.4,22.215,33.896,53.9,166.5,166.5,110.4,22.2,33.9,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,72,24.127,19.213,30.528,121.6,240.4,240.4,24.1,19.2,30.5,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,178,109.3,22.814,34.181,54,166.3,166.3,109.3,22.8,34.2,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,185,24.076,19.316,30.235,122,239.9,239.9,24.1,19.3,30.2,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,117,22.135,17.795,28.868,130.6,308.7,308.7,22.1,17.8,28.9,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,119,114.3,19.63,32.86,53.9,166.7,166.7,114.3,19.6,32.9,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,80,24.222,19.219,30.513,121.5,240.7,240.7,24.2,19.2,30.5,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,84,175.8,19.202,30.557,39.8,225.5,225.5,175.8,19.2,30.6,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2,91,22.473,18.034,29.094,129,295.1,295.1,22.5,18,29.1,956.93524,1331.6,3530.67,49023.662,221.66721,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,172,92,21.136,33.606,61.2,146.7,626.7,92,21.1,33.6,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,88,23.117,19.732,36.311,113.5,225.9,705.9,23.1,19.7,36.3,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,120,22.077,17.7,29.193,130.2,294.8,774.8,22.1,17.7,29.2,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,144,94.4,20.448,32.499,61,147.4,627.4,94.4,20.4,32.5,1149.8582,1536,4029.88,55677.088,329.28831,10237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,83,24.381,19.382,31.667,119.1,222.8,702.8,24.4,19.4,31.7,1149.8582,1536,4029.88,55677.088,329.28831,10237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,124,21.884,17.805,28.96,130.8,291.4,771.4,21.9,17.8,29,1149.8582,1536,4029.88,55677.088,329.28831,10237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,71,103.8,19.47,31.021,58.2,154.3,634.3,103.8,19.5,31,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,69,24.515,19.255,35.309,113.6,233.4,713.4,24.5,19.3,35.3,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,83,22.335,19.527,29.332,126.2,304.6,784.6,22.3,19.5,29.3,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,81,78.7,19.09,31.36,69.6,129.1,609.1,78.7,19.1,31.4,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,105,23.198,18.755,29.489,125.7,200.6,680.6,23.2,18.8,29.5,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,98,22.202,17.82,28.854,130.4,269.5,749.5,22.2,17.8,28.9,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,124,91,21.822,34.986,60.8,147.8,627.8,91,21.8,35,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,113,24.958,20.158,36.885,109.5,229.8,709.8,25,20.2,36.9,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3,88,21.986,17.73,28.708,131.3,298.2,778.2,22,17.7,28.7,1149.8582,1536,4029.88,55677.088,329.28831,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,85,83.6,24.067,34.853,63,142.5,1582.5,83.6,24.1,34.9,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,101,24.516,19.823,31.816,117.9,218.7,1658.7,24.5,19.8,31.8,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3,84,22.116,17.647,28.621,131.3,287.1,1727.1,22.1,17.6,28.6,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,71,59.084,20.46,33.251,79.6,112.8,1552.8,59.1,20.5,33.3,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,112,24.107,19.007,30.014,122.8,185.9,1625.9,24.1,19,30,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,177,21.929,17.817,29.051,130.6,254.7,1694.7,21.9,17.8,29.1,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,105,82.8,24.148,36.407,62.7,143.3,1583.3,82.8,24.1,36.4,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,91,26.925,21.544,33.925,109,225.7,1665.7,26.9,21.5,33.9,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,94,22.019,17.767,28.947,130.7,294.5,1734.5,22,17.8,28.9,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,94,63.9,23.078,34.392,74,121.3,1561.3,63.9,23.1,34.4,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,86,24.508,20.177,31.486,117.9,197.5,1637.5,24.5,20.2,31.5,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,103,21.977,17.784,28.671,131.3,265.9,1705.9,22,17.8,28.7,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,83,72.5,21.021,34.861,69.9,128.4,1568.4,72.5,21,34.9,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,73,23.58,18.581,35.306,115.9,205.9,1645.9,23.6,18.6,35.3,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3,115,21.981,17.658,28.694,131.4,274.2,1714.2,22,17.7,28.7,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,85,83.3,23.964,35.008,63.1,142.3,1582.3,83.3,24,35,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,82,26.348,20.148,32.954,113.1,221.7,1661.7,26.3,20.1,33,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,90,21.928,17.756,28.948,130.9,290.4,1730.4,21.9,17.8,28.9,1097.9143,1565.6,3959.09,55465.996,305.23769,11385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,163,90.7,19.6,31.877,63.2,142.1,1102.1,90.7,19.6,31.9,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,104,23.826,19.612,30.266,121.9,215.8,1175.8,23.8,19.6,30.3,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,116,21.864,17.816,28.864,131,284.4,1244.4,21.9,17.8,28.9,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,136,84,23.944,35.147,62.8,143.1,1103.1,84,23.9,35.1,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,69,25.596,20.236,31.622,116,220.5,1180.5,25.6,20.2,31.6,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,88,21.758,17.594,29.119,131.2,289,1249,21.8,17.6,29.1,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,106,91.7,20.038,32.376,62.3,144.1,1104.1,91.7,20,32.4,1128.6822,1451,4205.35,57072.362,269.27793,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
