NUMBER, LAP_NUMBER,LAP_TIME, S1, S2, S3, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,TEAM,POWER,LOCATION,EVENT
5,4,156,26.366,34.156,42.992,117.5,481.9,1381.9,26.4,34.2,43,SVANDOO,Ml,235,Location 2,Free Practice 2
5,5,89,26.431,34.063,42.986,117.6,585.4,1485.4,26.4,34.1,43,SVANDOO,Ml,235,Location 2,Free Practice 2
5,6,92,26.486,72.3,86.3,65.7,770.5,1670.5,26.5,72.3,86.3,SVANDOO,Ml,235,Location 2,Free Practice 2
6,1,71,97.1,37.607,49.919,65.9,184.6,1084.6,97.1,37.6,49.9,NL,DRAGONÃ,235,Location 2,Free Practice 2
6,2,83,25.378,32.715,41.868,121.7,284.6,1184.6,25.4,32.7,41.9,NL,DRAGONÃ,250,Location 2,Free Practice 2
6,3,105,26.526,34.584,47.847,111.7,393.5,1293.5,26.5,34.6,47.8,NL,DRAGONÃ,235,Location 2,Free Practice 2
6,4,87,26.642,34.251,44.425,115.5,498.8,1398.8,26.6,34.3,44.4,NL,DRAGONÃ,235,Location 2,Free Practice 2
6,5,74,26.757,34.143,51.422,108.3,611.2,1511.2,26.8,34.1,51.4,NL,DRAGONÃ,235,Location 2,Free Practice 2
7,1,74,87.5,37.47,52.594,68.5,177.6,1077.6,87.5,37.5,52.6,SM,DRAGONo,235,Location 2,Free Practice 2
7,2,89,25.102,34.359,42.463,119.4,279.5,1179.5,25.1,34.4,42.5,SM,DRAGONo,235,Location 2,Free Practice 2
7,3,113,27.69,34.514,44.288,114.3,386,1286,27.7,34.5,44.3,SM,DRAGONo,235,Location 2,Free Practice 2
7,4,95,36.833,35.367,44.446,104.3,502.6,1402.6,36.8,35.4,44.4,SM,DRAGONo,235,Location 2,Free Practice 2
7,5,96,26.928,34.422,44.154,115.3,608.1,1508.1,26.9,34.4,44.2,SM,DRAGONo,235,Location 2,Free Practice 2
7,6,68,51.988,82.9,89.4,54.2,832.4,1732.4,52,82.9,89.4,SM,DRAGONo,235,Location 2,Free Practice 2
71,1,108,77,40.602,52.923,71.4,170.5,1070.5,77,40.6,52.9,NN,ROK ,235,Location 2,Free Practice 2
71,2,70,26.354,38.472,45.154,110.6,280.5,1180.5,26.4,38.5,45.2,NN,ROK ,235,Location 2,Free Practice 2
71,3,100,27.315,35.671,56.431,101.9,399.9,1299.9,27.3,35.7,56.4,NN,ROK ,235,Location 2,Free Practice 2
71,4,90,26.173,33.681,43.423,117.8,503.2,1403.2,26.2,33.7,43.4,NN,ROK ,235,Location 2,Free Practice 2
71,5,109,38.399,41.42,57.022,88.9,640,1540,38.4,41.4,57,NN,ROK ,235,Location 2,Free Practice 2
94,1,109,71.5,40.312,56.205,72.4,168,1068,71.5,40.3,56.2,AL,MAHINDRAd,235,Location 2,Free Practice 2
94,2,147,27.113,35.777,46.182,111.6,277,1177,27.1,35.8,46.2,AL,MAHINDRAd,235,Location 2,Free Practice 2
94,3,73,26.837,34.426,43.261,116.4,381.6,1281.6,26.8,34.4,43.3,AL,MAHINDRAd,235,Location 2,Free Practice 2
94,4,71,33.196,37.643,45.821,104.3,498.2,1398.2,33.2,37.6,45.8,AL,MAHINDRAd,235,Location 2,Free Practice 2
94,5,88,26.446,33.711,42.449,118.6,600.8,1500.8,26.4,33.7,42.4,AL,MAHINDRAd,235,Location 2,Free Practice 2
94,6,102,43.267,82.6,86.2,57.4,812.9,1712.9,43.3,82.6,86.2,AL,MAHINDRAd,235,Location 2,Free Practice 2
99,1,88,94.3,36.649,47.722,68.1,178.7,1078.7,94.3,36.6,47.7,PWEHRL,TAG ,235,Location 2,Free Practice 2
99,2,97,28.179,37.287,45.969,109.2,290.1,1190.1,28.2,37.3,46,PWEHRL,TAG ,235,Location 2,Free Practice 2
99,3,94,25.051,32.737,42.742,121,390.7,1290.7,25.1,32.7,42.7,PWEHRL,TAG ,235,Location 2,Free Practice 2
99,4,102,28.819,38.482,52.421,101.6,510.4,1410.4,28.8,38.5,52.4,PWEHRL,TAG ,235,Location 2,Free Practice 2
99,5,77,26.373,34.399,45.036,115,616.2,1516.2,26.4,34.4,45,PWEHRL,TAG ,235,Location 2,Free Practice 2
99,6,96,73.2,83.5,92.7,48.8,865.6,1765.6,73.2,83.5,92.7,PWEHRL,TAG ,235,Location 2,Free Practice 2
10,1,99,147.9,35.128,52.901,51.6,236,236,147.9,35.1,52.9,SB,JR,250,Location 2,Qualifying Group 1
10,2,68,24.974,32.717,41.752,122.4,335.4,335.4,25,32.7,41.8,SB,JR,250,Location 2,Qualifying Group 1
13,1,77,144.9,37.023,50.36,52.4,232.2,232.2,144.9,37,50.4,ACO,DSo,250,Location 2,Qualifying Group 1
13,2,86,25.023,32.296,42.76,121.6,332.3,332.3,25,32.3,42.8,ACO,DSo,250,Location 2,Qualifying Group 1
17,1,84,141.1,37.22,46.851,54,225.2,225.2,141.1,37.2,46.9,NVR,ME,250,Location 2,Qualifying Group 1
17,2,125,24.921,32.603,41.638,122.7,324.4,324.4,24.9,32.6,41.6,NVR,ME,250,Location 2,Qualifying Group 1
20,1,130,145.2,37.102,48.215,52.8,230.5,230.5,145.2,37.1,48.2,MEV,JE,250,Location 2,Qualifying Group 1
20,2,92,25.242,32.802,41.61,122.1,330.2,330.2,25.2,32.8,41.6,MEV,JE,250,Location 2,Qualifying Group 1
4,1,88,34.597,37.034,45.265,104.1,116.9,116.9,34.6,37,45.3,RFRI,EF,235,Location 2,Qualifying Group 1
4,2,73,29.005,36.885,51.52,103.6,234.3,234.3,29,36.9,51.5,RFRI,EF,250,Location 2,Qualifying Group 1
4,3,88,24.785,32.498,41.798,122.8,333.4,333.4,24.8,32.5,41.8,RFRI,EF,250,Location 2,Qualifying Group 1
48,1,108,170,37.207,54.164,46.6,261.4,261.4,170,37.2,54.2,EMORT,ROKo,250,Location 2,Qualifying Group 1
10,1,146,64.7,41.153,49.798,78.2,155.7,155.7,64.7,41.2,49.8,SB,JR,235,Location 2,Free Practice 1
10,2,71,28.125,35.862,52.616,104.4,272.3,272.3,28.1,35.9,52.6,SB,JR,235,Location 2,Free Practice 1
10,3,92,53.661,37.201,46.38,88.7,409.5,409.5,53.7,37.2,46.4,SB,JR,235,Location 2,Free Practice 1
10,4,103,26.989,34.77,44.201,114.8,515.5,515.5,27,34.8,44.2,SB,JR,235,Location 2,Free Practice 1
10,5,116,26.748,34.676,45.539,113.8,622.4,622.4,26.7,34.7,45.5,SB,JR,235,Location 2,Free Practice 1
10,6,83,26.878,34.364,43.475,116.2,727.1,727.1,26.9,34.4,43.5,SB,JR,235,Location 2,Free Practice 1
10,7,92,37.224,41.317,56.497,90.1,862.2,862.2,37.2,41.3,56.5,SB,JR,235,Location 2,Free Practice 1
10,8,74,26.15,38.146,58.823,98.8,985.3,985.3,26.1,38.1,58.8,SB,JR,235,Location 2,Free Practice 1
10,9,122,25.883,33.711,42.525,119.2,1087.4,1087.4,25.9,33.7,42.5,SB,JR,235,Location 2,Free Practice 1
10,10,102,33.052,46.144,58.862,88.1,1225.5,1225.5,33.1,46.1,58.9,SB,JR,235,Location 2,Free Practice 1
10,11,87,25.77,33.631,42.296,119.6,1327.2,1327.2,25.8,33.6,42.3,SB,JR,235,Location 2,Free Practice 1
10,12,68,26.73,34.226,47.631,112.1,1435.8,1435.8,26.7,34.2,47.6,SB,JR,235,Location 2,Free Practice 1
10,13,134,443.6,36.819,45.402,23.1,1961.6,1961.6,443.6,36.8,45.4,SB,JR,235,Location 2,Free Practice 1
10,14,90,27.374,35.529,47.4,110.3,2071.9,2071.9,27.4,35.5,47.4,SB,JR,235,Location 2,Free Practice 1
10,15,147,25.006,49.064,87.7,75.2,2233.7,2233.7,25,49.1,87.7,SB,JR,235,Location 2,Free Practice 1
10,16,86,233,35.054,44.718,38.9,2546.5,2546.5,233,35.1,44.7,SB,JR,250,Location 2,Free Practice 1
10,17,121,24.76,32.773,41.737,122.6,2645.8,2645.8,24.8,32.8,41.7,SB,JR,250,Location 2,Free Practice 1
10,18,120,35.425,48.441,44.138,95.1,2773.8,2773.8,35.4,48.4,44.1,SB,JR,235,Location 2,Free Practice 1
11,1,101,62.5,41.635,50.392,78.7,154.6,154.6,62.5,41.6,50.4,LGRA,AD,235,Location 2,Free Practice 1
11,2,71,28.002,36.32,52.071,104.5,271,271,28,36.3,52.1,LGRA,AD,235,Location 2,Free Practice 1
11,3,76,54.282,36.227,47.551,88.1,409,409,54.3,36.2,47.6,LGRA,AD,235,Location 2,Free Practice 1
11,4,85,27.013,34.875,44.095,114.8,515,515,27,34.9,44.1,LGRA,AD,235,Location 2,Free Practice 1
11,5,89,26.879,34.572,43.625,115.8,620.1,620.1,26.9,34.6,43.6,LGRA,AD,235,Location 2,Free Practice 1
11,6,101,26.714,34.919,44.243,114.9,726,726,26.7,34.9,44.2,LGRA,AD,235,Location 2,Free Practice 1
11,7,74,32.381,37.18,47.458,104,843,843,32.4,37.2,47.5,LGRA,AD,235,Location 2,Free Practice 1
11,8,98,26.86,34.771,54.937,104.4,959.6,959.6,26.9,34.8,54.9,LGRA,AD,235,Location 2,Free Practice 1
11,9,123,26.29,33.954,42.901,118,1062.7,1062.7,26.3,34,42.9,LGRA,AD,235,Location 2,Free Practice 1
11,10,73,26.21,33.851,42.674,118.4,1165.4,1165.4,26.2,33.9,42.7,LGRA,AD,235,Location 2,Free Practice 1
11,11,149,26.519,34.141,53.237,106.8,1279.3,1279.3,26.5,34.1,53.2,LGRA,AD,235,Location 2,Free Practice 1
11,12,188,429.8,34.665,43.988,23.9,1787.8,1787.8,429.8,34.7,44,LGRA,AD,235,Location 2,Free Practice 1
11,13,100,26.295,33.956,48.986,111.4,1897.1,1897.1,26.3,34,49,LGRA,AD,235,Location 2,Free Practice 1
11,14,94,25.412,32.752,41.738,121.8,1997,1997,25.4,32.8,41.7,LGRA,AD,235,Location 2,Free Practice 1
11,15,108,27.526,34.123,47.518,111.5,2106.1,2106.1,27.5,34.1,47.5,LGRA,AD,235,Location 2,Free Practice 1
11,16,102,364.7,35.334,54.031,26.8,2560.2,2560.2,364.7,35.3,54,LGRA,AD,250,Location 2,Free Practice 1
11,17,95,24.963,32.483,41.339,123.2,2658.9,2658.9,25,32.5,41.3,LGRA,AD,250,Location 2,Free Practice 1
11,18,86,26.926,33.957,46.175,113.7,2766,2766,26.9,34,46.2,LGRA,AD,235,Location 2,Free Practice 1
13,1,95,48.508,40.408,47.53,89.2,136.4,136.4,48.5,40.4,47.5,ACO,DSo,235,Location 2,Free Practice 1
13,2,129,28.198,36.419,45.158,110.8,246.2,246.2,28.2,36.4,45.2,ACO,DSo,235,Location 2,Free Practice 1
13,3,98,54.317,44.766,44.434,84.8,389.7,389.7,54.3,44.8,44.4,ACO,DSo,235,Location 2,Free Practice 1
13,4,108,27.415,35.058,43.854,114.4,496.1,496.1,27.4,35.1,43.9,ACO,DSo,235,Location 2,Free Practice 1
13,5,89,26.635,35.483,43.424,115.3,601.6,601.6,26.6,35.5,43.4,ACO,DSo,235,Location 2,Free Practice 1
13,6,69,33.513,39.032,44.684,103.8,718.8,718.8,33.5,39,44.7,ACO,DSo,235,Location 2,Free Practice 1
13,7,110,26.543,34.076,43.191,117.2,822.6,822.6,26.5,34.1,43.2,ACO,DSo,235,Location 2,Free Practice 1
13,8,85,35.694,43.275,54.078,91.5,955.7,955.7,35.7,43.3,54.1,ACO,DSo,235,Location 2,Free Practice 1
13,9,94,26.315,33.684,45.748,115.1,1061.4,1061.4,26.3,33.7,45.7,ACO,DSo,235,Location 2,Free Practice 1
13,10,73,28.269,33.661,49.087,109.6,1172.5,1172.5,28.3,33.7,49.1,ACO,DSo,235,Location 2,Free Practice 1
13,11,93,351,43.061,47.945,27.5,1614.5,1614.5,351,43.1,47.9,ACO,DSo,235,Location 2,Free Practice 1
13,12,133,26.151,33.7,42.834,118.5,1717.2,1717.2,26.2,33.7,42.8,ACO,DSo,235,Location 2,Free Practice 1
13,13,84,36.484,47.609,48.999,91.4,1850.3,1850.3,36.5,47.6,49,ACO,DSo,235,Location 2,Free Practice 1
13,14,129,25.733,33.331,42.416,119.9,1951.7,1951.7,25.7,33.3,42.4,ACO,DSo,235,Location 2,Free Practice 1
13,15,141,35.766,44.815,50.046,93.2,2082.4,2082.4,35.8,44.8,50,ACO,DSo,235,Location 2,Free Practice 1
13,16,176,25.33,81.7,91.8,61.2,2281.2,2281.2,25.3,81.7,91.8,ACO,DSo,250,Location 2,Free Practice 1
13,17,98,128.3,42.808,55.999,53.6,2508.3,2508.3,128.3,42.8,56,ACO,DSo,250,Location 2,Free Practice 1
13,18,93,24.922,32.418,42.699,121.6,2608.4,2608.4,24.9,32.4,42.7,ACO,DSo,250,Location 2,Free Practice 1
13,19,157,25.759,36.366,44.472,114.1,2715,2715,25.8,36.4,44.5,ACO,DSo,250,Location 2,Free Practice 1
17,1,84,52.941,40.229,50.027,85,143.2,143.2,52.9,40.2,50,NVR,ME,235,Location 2,Free Practice 1
17,2,72,28.128,37.275,56.525,99.8,265.1,265.1,28.1,37.3,56.5,NVR,ME,235,Location 2,Free Practice 1
17,3,84,57.167,36.38,45.292,87.6,404,404,57.2,36.4,45.3,NVR,ME,235,Location 2,Free Practice 1
17,4,150,27.057,35.273,43.713,114.7,510,510,27.1,35.3,43.7,NVR,ME,235,Location 2,Free Practice 1
17,5,90,27.12,34.884,43.51,115.3,615.5,615.5,27.1,34.9,43.5,NVR,ME,235,Location 2,Free Practice 1
17,6,113,27.08,34.886,47.81,110.8,725.3,725.3,27.1,34.9,47.8,NVR,ME,235,Location 2,Free Practice 1
17,7,98,26.821,34.682,43.244,116.2,830,830,26.8,34.7,43.2,NVR,ME,235,Location 2,Free Practice 1
17,8,94,26.723,34.809,44.763,114.5,936.3,936.3,26.7,34.8,44.8,NVR,ME,235,Location 2,Free Practice 1
17,9,157,27.101,34.776,51.073,107.7,1049.3,1049.3,27.1,34.8,51.1,NVR,ME,235,Location 2,Free Practice 1
17,10,71,335.4,38.487,46.589,28.9,1469.7,1469.7,335.4,38.5,46.6,NVR,ME,235,Location 2,Free Practice 1
17,11,108,26.162,33.895,42.277,118.9,1572.1,1572.1,26.2,33.9,42.3,NVR,ME,235,Location 2,Free Practice 1
17,12,87,28.991,40.256,47.209,104.5,1688.5,1688.5,29,40.3,47.2,NVR,ME,235,Location 2,Free Practice 1
17,13,107,25.698,33.586,43.177,118.8,1791,1791,25.7,33.6,43.2,NVR,ME,250,Location 2,Free Practice 1
17,14,130,36.462,38.889,53.195,94.7,1919.5,1919.5,36.5,38.9,53.2,NVR,ME,235,Location 2,Free Practice 1
17,15,90,25.126,33.88,42.2,120.2,2020.7,2020.7,25.1,33.9,42.2,NVR,ME,235,Location 2,Free Practice 1
17,16,97,27.309,35.362,66.9,93.9,2150.3,2150.3,27.3,35.4,66.9,NVR,ME,235,Location 2,Free Practice 1
17,17,83,246.8,38.621,46.789,36.6,2482.5,2482.5,246.8,38.6,46.8,NVR,ME,250,Location 2,Free Practice 1
17,18,87,24.841,32.583,42.715,121.5,2582.6,2582.6,24.8,32.6,42.7,NVR,ME,250,Location 2,Free Practice 1
17,19,83,34.11,37.19,50.462,99.9,2704.4,2704.4,34.1,37.2,50.5,NVR,ME,250,Location 2,Free Practice 1
20,1,162,65.3,41.024,54.627,75.6,161,161,65.3,41,54.6,MEV,JE,235,Location 2,Free Practice 1
20,2,94,28.033,37.438,59.043,97.7,285.5,285.5,28,37.4,59,MEV,JE,235,Location 2,Free Practice 1
20,3,90,45.024,35.463,48.184,94.6,414.1,414.1,45,35.5,48.2,MEV,JE,235,Location 2,Free Practice 1
20,4,102,27.464,34.818,43.915,114.6,520.3,520.3,27.5,34.8,43.9,MEV,JE,235,Location 2,Free Practice 1
20,5,125,26.84,35.021,43.618,115.4,625.8,625.8,26.8,35,43.6,MEV,JE,235,Location 2,Free Practice 1
20,6,121,26.901,34.594,43.459,115.9,730.8,730.8,26.9,34.6,43.5,MEV,JE,235,Location 2,Free Practice 1
20,7,75,28.653,38.139,51.161,103.2,848.7,848.7,28.7,38.1,51.2,MEV,JE,235,Location 2,Free Practice 1
20,8,94,26.141,34.165,48.556,111.8,957.6,957.6,26.1,34.2,48.6,MEV,JE,235,Location 2,Free Practice 1
20,9,74,26.147,33.864,54.67,106.1,1072.3,1072.3,26.1,33.9,54.7,MEV,JE,235,Location 2,Free Practice 1
20,10,87,25.94,33.661,42.903,118.7,1174.8,1174.8,25.9,33.7,42.9,MEV,JE,235,Location 2,Free Practice 1
20,11,89,25.966,34.321,49.44,110.9,1284.5,1284.5,26,34.3,49.4,MEV,JE,235,Location 2,Free Practice 1
20,12,93,567.7,37.219,48.502,18.6,1937.9,1937.9,567.7,37.2,48.5,MEV,JE,235,Location 2,Free Practice 1
20,13,189,25.341,33.138,41.863,121.3,2038.2,2038.2,25.3,33.1,41.9,MEV,JE,235,Location 2,Free Practice 1
20,14,105,27.027,34.701,79.4,86.2,2179.4,2179.4,27,34.7,79.4,MEV,JE,235,Location 2,Free Practice 1
20,15,105,239.3,36.486,47.77,37.6,2502.9,2502.9,239.3,36.5,47.8,MEV,JE,235,Location 2,Free Practice 1
20,16,107,26.731,38.421,45.6,109.9,2613.7,2613.7,26.7,38.4,45.6,MEV,JE,250,Location 2,Free Practice 1
20,17,93,24.986,33.129,41.492,122.2,2713.3,2713.3,25,33.1,41.5,MEV,JE,250,Location 2,Free Practice 1
22,1,95,51.755,40.104,49.056,86.3,140.9,140.9,51.8,40.1,49.1,OROWL,N ,235,Location 2,Free Practice 1
22,2,85,28.119,38.169,46.687,107.7,253.9,253.9,28.1,38.2,46.7,OROWL,N ,235,Location 2,Free Practice 1
22,3,73,63.3,36.654,45.513,83.6,399.4,399.4,63.3,36.7,45.5,OROWL,N ,235,Location 2,Free Practice 1
22,4,145,26.358,34.332,43.071,117.3,503.1,503.1,26.4,34.3,43.1,OROWL,N ,235,Location 2,Free Practice 1
22,5,72,26.627,34.94,46.525,112.6,611.2,611.2,26.6,34.9,46.5,OROWL,N ,235,Location 2,Free Practice 1
22,6,91,26.632,34.787,43.945,115.5,716.6,716.6,26.6,34.8,43.9,OROWL,N ,235,Location 2,Free Practice 1
