NUMBER, DRIVER_NUMBER, LAP_NUMBER,LAP_TIME, LAP_IMPROVEMENT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,GROUP,TEAM,POWER,LOCATION,EVENT
33,1,5,68,0,25.873,2,35.225,0,51.47,0,108.1,585.2,1485.2,25.9,35.2,51.5,RR,0,,AR,,Location 2,Free Practice 2
36,1,1,145,0,350.5,0,36.644,0,44.646,2,28.2,431.7,1331.7,350.5,36.6,44.6,ALOTTE,319.4,,TAG ,,Location 2,Free Practice 2
36,1,2,71,2,26.994,0,34.866,0,49.239,0,109.5,542.8,1442.8,27,34.9,49.2,ALOTTE,0,,TAG ,235,Location 2,Free Practice 2
36,1,3,110,0,25.14,2,32.7,2,64.9,0,99.1,665.6,1565.6,25.1,32.7,64.9,ALOTTE,0,,TAG ,250,Location 2,Free Practice 2
37,1,1,71,0,61.5,0,39.813,0,54.778,0,77.9,156.1,1056.1,61.5,39.8,54.8,N,27.5,,EA,235,Location 2,Free Practice 2
37,1,2,93,2,25.202,2,32.676,2,42.164,2,121.6,256.2,1156.2,25.2,32.7,42.2,N,0,,EA,235,Location 2,Free Practice 2
37,1,3,97,0,26.422,0,36.258,0,50.415,0,107.6,369.2,1269.2,26.4,36.3,50.4,N,0,,EA,,Location 2,Free Practice 2
4,1,1,105,0,63.3,0,39.207,0,55.895,0,76.8,158.4,1058.4,63.3,39.2,55.9,RFRI,31.6,,EF,,Location 2,Free Practice 2
4,1,2,77,2,25.889,0,44.821,0,45.447,2,104.8,274.5,1174.5,25.9,44.8,45.4,RFRI,0,,EF,,Location 2,Free Practice 2
4,1,3,72,0,25.712,2,33.65,2,46.719,0,114.7,380.6,1280.6,25.7,33.6,46.7,RFRI,0,,EF,,Location 2,Free Practice 2
4,1,4,89,0,276.4,0,83.2,0,87,0,27.3,827.1,1727.1,276.4,83.2,87,RFRI,222.8,,EF,,Location 2,Free Practice 2
48,1,1,68,0,72.4,0,38.509,0,54.387,0,73.6,165.3,1065.3,72.4,38.5,54.4,EMORT,40.4,,ROKo,,Location 2,Free Practice 2
48,1,2,81,0,27.004,0,36.045,0,44.677,0,113,273,1173,27,36,44.7,EMORT,0,,ROKo,,Location 2,Free Practice 2
48,1,3,69,0,26.513,0,35.573,0,44.018,0,114.7,379.1,1279.1,26.5,35.6,44,EMORT,0,,ROKo,,Location 2,Free Practice 2
48,1,4,115,2,26.337,2,34.743,2,43.282,2,116.6,483.4,1383.4,26.3,34.7,43.3,EMORT,0,,ROKo,,Location 2,Free Practice 2
48,1,5,93,0,29.036,0,40.546,0,51.842,0,100.2,604.9,1504.9,29,40.5,51.8,EMORT,0,,ROKo,,Location 2,Free Practice 2
48,1,6,112,0,49.813,0,82.6,0,86.9,0,55.5,824.2,1724.2,49.8,82.6,86.9,EMORT,0,,ROKo,,Location 2,Free Practice 2
5,1,1,114,0,54.776,0,42.41,0,55.797,0,79.5,153,1053,54.8,42.4,55.8,SVANDOO,23,,Ml,235,Location 2,Free Practice 2
5,1,2,100,2,25.197,2,32.605,3,42.098,2,121.8,252.9,1152.9,25.2,32.6,42.1,SVANDOO,0,,Ml,250,Location 2,Free Practice 2
5,1,3,84,0,34.31,0,39.865,0,51.36,0,96.9,378.4,1278.4,34.3,39.9,51.4,SVANDOO,0,,Ml,235,Location 2,Free Practice 2
5,1,4,156,0,26.366,0,34.156,0,42.992,0,117.5,481.9,1381.9,26.4,34.2,43,SVANDOO,0,,Ml,,Location 2,Free Practice 2
5,1,5,89,0,26.431,0,34.063,0,42.986,0,117.6,585.4,1485.4,26.4,34.1,43,SVANDOO,0,,Ml,,Location 2,Free Practice 2
5,1,6,92,0,26.486,0,72.3,0,86.3,0,65.7,770.5,1670.5,26.5,72.3,86.3,SVANDOO,0,,Ml,,Location 2,Free Practice 2
6,1,1,71,0,97.1,0,37.607,0,49.919,0,65.9,184.6,1084.6,97.1,37.6,49.9,NL,66.5,,DRAGONÃ,235,Location 2,Free Practice 2
6,1,2,83,2,25.378,2,32.715,2,41.868,2,121.7,284.6,1184.6,25.4,32.7,41.9,NL,0,,DRAGONÃ,250,Location 2,Free Practice 2
6,1,3,105,0,26.526,0,34.584,0,47.847,0,111.7,393.5,1293.5,26.5,34.6,47.8,NL,0,,DRAGONÃ,235,Location 2,Free Practice 2
6,1,4,87,0,26.642,0,34.251,0,44.425,0,115.5,498.8,1398.8,26.6,34.3,44.4,NL,0,,DRAGONÃ,,Location 2,Free Practice 2
6,1,5,74,0,26.757,0,34.143,0,51.422,0,108.3,611.2,1511.2,26.8,34.1,51.4,NL,0,,DRAGONÃ,,Location 2,Free Practice 2
7,1,1,74,0,87.5,0,37.47,0,52.594,0,68.5,177.6,1077.6,87.5,37.5,52.6,SM,57.2,,DRAGONo,235,Location 2,Free Practice 2
7,1,2,89,2,25.102,2,34.359,2,42.463,2,119.4,279.5,1179.5,25.1,34.4,42.5,SM,0,,DRAGONo,235,Location 2,Free Practice 2
7,1,3,113,0,27.69,0,34.514,0,44.288,0,114.3,386,1286,27.7,34.5,44.3,SM,0,,DRAGONo,,Location 2,Free Practice 2
7,1,4,95,0,36.833,0,35.367,0,44.446,0,104.3,502.6,1402.6,36.8,35.4,44.4,SM,0,,DRAGONo,,Location 2,Free Practice 2
7,1,5,96,0,26.928,0,34.422,0,44.154,0,115.3,608.1,1508.1,26.9,34.4,44.2,SM,0,,DRAGONo,,Location 2,Free Practice 2
7,1,6,68,0,51.988,0,82.9,0,89.4,0,54.2,832.4,1732.4,52,82.9,89.4,SM,0,,DRAGONo,,Location 2,Free Practice 2
71,1,1,108,0,77,0,40.602,0,52.923,0,71.4,170.5,1070.5,77,40.6,52.9,NN,43,,ROK ,,Location 2,Free Practice 2
71,1,2,70,0,26.354,0,38.472,0,45.154,0,110.6,280.5,1180.5,26.4,38.5,45.2,NN,0,,ROK ,,Location 2,Free Practice 2
71,1,3,100,0,27.315,0,35.671,0,56.431,0,101.9,399.9,1299.9,27.3,35.7,56.4,NN,0,,ROK ,,Location 2,Free Practice 2
71,1,4,90,2,26.173,2,33.681,2,43.423,2,117.8,503.2,1403.2,26.2,33.7,43.4,NN,0,,ROK ,,Location 2,Free Practice 2
71,1,5,109,0,38.399,0,41.42,0,57.022,0,88.9,640,1540,38.4,41.4,57,NN,0,,ROK ,,Location 2,Free Practice 2
94,1,1,109,0,71.5,0,40.312,0,56.205,0,72.4,168,1068,71.5,40.3,56.2,AL,38.5,,MAHINDRAd,,Location 2,Free Practice 2
94,1,2,147,0,27.113,0,35.777,0,46.182,0,111.6,277,1177,27.1,35.8,46.2,AL,0,,MAHINDRAd,,Location 2,Free Practice 2
94,1,3,73,0,26.837,0,34.426,0,43.261,0,116.4,381.6,1281.6,26.8,34.4,43.3,AL,0,,MAHINDRAd,,Location 2,Free Practice 2
94,1,4,71,0,33.196,0,37.643,0,45.821,0,104.3,498.2,1398.2,33.2,37.6,45.8,AL,0,,MAHINDRAd,,Location 2,Free Practice 2
94,1,5,88,2,26.446,2,33.711,2,42.449,2,118.6,600.8,1500.8,26.4,33.7,42.4,AL,0,,MAHINDRAd,,Location 2,Free Practice 2
94,1,6,102,0,43.267,0,82.6,0,86.2,0,57.4,812.9,1712.9,43.3,82.6,86.2,AL,0,,MAHINDRAd,,Location 2,Free Practice 2
99,1,1,88,0,94.3,0,36.649,0,47.722,0,68.1,178.7,1078.7,94.3,36.6,47.7,PWEHRL,60.8,,TAG ,,Location 2,Free Practice 2
99,1,2,97,0,28.179,0,37.287,0,45.969,0,109.2,290.1,1190.1,28.2,37.3,46,PWEHRL,0,,TAG ,235,Location 2,Free Practice 2
99,1,3,94,2,25.051,3,32.737,2,42.742,2,121,390.7,1290.7,25.1,32.7,42.7,PWEHRL,0,,TAG ,235,Location 2,Free Practice 2
99,1,4,102,0,28.819,0,38.482,0,52.421,0,101.6,510.4,1410.4,28.8,38.5,52.4,PWEHRL,0,,TAG ,,Location 2,Free Practice 2
99,1,5,77,0,26.373,0,34.399,0,45.036,0,115,616.2,1516.2,26.4,34.4,45,PWEHRL,0,,TAG ,,Location 2,Free Practice 2
99,1,6,96,0,73.2,0,83.5,0,92.7,0,48.8,865.6,1765.6,73.2,83.5,92.7,PWEHRL,0,,TAG ,,Location 2,Free Practice 2
10,1,1,99,0,147.9,0,35.128,0,52.901,0,51.6,236,236,147.9,35.1,52.9,SB,119.4,1,JR,250,Location 2,Qualifying Group 1
10,1,2,68,2,24.974,2,32.717,2,41.752,2,122.4,335.4,335.4,25,32.7,41.8,SB,0,1,JR,250,Location 2,Qualifying Group 1
13,1,1,77,0,144.9,0,37.023,0,50.36,0,52.4,232.2,232.2,144.9,37,50.4,ACO,113,1,DSo,250,Location 2,Qualifying Group 1
13,1,2,86,2,25.023,2,32.296,4,42.76,2,121.6,332.3,332.3,25,32.3,42.8,ACO,0,1,DSo,250,Location 2,Qualifying Group 1
17,1,1,84,0,141.1,0,37.22,0,46.851,0,54,225.2,225.2,141.1,37.2,46.9,NVR,111.3,1,ME,250,Location 2,Qualifying Group 1
17,1,2,125,2,24.921,2,32.603,2,41.638,2,122.7,324.4,324.4,24.9,32.6,41.6,NVR,0,1,ME,250,Location 2,Qualifying Group 1
20,1,1,130,0,145.2,0,37.102,0,48.215,0,52.8,230.5,230.5,145.2,37.1,48.2,MEV,115.5,1,JE,250,Location 2,Qualifying Group 1
20,1,2,92,2,25.242,2,32.802,2,41.61,4,122.1,330.2,330.2,25.2,32.8,41.6,MEV,0,1,JE,250,Location 2,Qualifying Group 1
4,1,1,88,0,34.597,0,37.034,0,45.265,0,104.1,116.9,116.9,34.6,37,45.3,RFRI,4.4,1,EF,,Location 2,Qualifying Group 1
4,1,2,73,0,29.005,0,36.885,0,51.52,0,103.6,234.3,234.3,29,36.9,51.5,RFRI,0,1,EF,250,Location 2,Qualifying Group 1
4,1,3,88,4,24.785,4,32.498,2,41.798,2,122.8,333.4,333.4,24.8,32.5,41.8,RFRI,0,1,EF,250,Location 2,Qualifying Group 1
48,1,1,108,0,170,0,37.207,2,54.164,0,46.6,261.4,261.4,170,37.2,54.2,EMORT,140.2,1,ROKo,250,Location 2,Qualifying Group 1
10,1,1,146,0,64.7,0,41.153,0,49.798,0,78.2,155.7,155.7,64.7,41.2,49.8,SB,30.5,,JR,,Location 2,Free Practice 1
10,1,2,71,0,28.125,0,35.862,0,52.616,0,104.4,272.3,272.3,28.1,35.9,52.6,SB,0,,JR,,Location 2,Free Practice 1
10,1,3,92,0,53.661,0,37.201,0,46.38,0,88.7,409.5,409.5,53.7,37.2,46.4,SB,0,,JR,,Location 2,Free Practice 1
10,1,4,103,0,26.989,0,34.77,0,44.201,0,114.8,515.5,515.5,27,34.8,44.2,SB,0,,JR,,Location 2,Free Practice 1
10,1,5,116,0,26.748,0,34.676,0,45.539,0,113.8,622.4,622.4,26.7,34.7,45.5,SB,0,,JR,,Location 2,Free Practice 1
10,1,6,83,0,26.878,0,34.364,0,43.475,0,116.2,727.1,727.1,26.9,34.4,43.5,SB,0,,JR,,Location 2,Free Practice 1
10,1,7,92,0,37.224,0,41.317,0,56.497,0,90.1,862.2,862.2,37.2,41.3,56.5,SB,0,,JR,,Location 2,Free Practice 1
10,1,8,74,0,26.15,0,38.146,0,58.823,0,98.8,985.3,985.3,26.1,38.1,58.8,SB,0,,JR,,Location 2,Free Practice 1
10,1,9,122,0,25.883,0,33.711,0,42.525,0,119.2,1087.4,1087.4,25.9,33.7,42.5,SB,0,,JR,,Location 2,Free Practice 1
10,1,10,102,0,33.052,0,46.144,0,58.862,0,88.1,1225.5,1225.5,33.1,46.1,58.9,SB,0,,JR,,Location 2,Free Practice 1
10,1,11,87,0,25.77,0,33.631,0,42.296,0,119.6,1327.2,1327.2,25.8,33.6,42.3,SB,0,,JR,,Location 2,Free Practice 1
10,1,12,68,0,26.73,0,34.226,0,47.631,0,112.1,1435.8,1435.8,26.7,34.2,47.6,SB,0,,JR,,Location 2,Free Practice 1
10,1,13,134,0,443.6,0,36.819,0,45.402,0,23.1,1961.6,1961.6,443.6,36.8,45.4,SB,413,,JR,,Location 2,Free Practice 1
10,1,14,90,0,27.374,0,35.529,0,47.4,0,110.3,2071.9,2071.9,27.4,35.5,47.4,SB,0,,JR,235,Location 2,Free Practice 1
10,1,15,147,0,25.006,0,49.064,0,87.7,0,75.2,2233.7,2233.7,25,49.1,87.7,SB,0,,JR,235,Location 2,Free Practice 1
10,1,16,86,0,233,0,35.054,0,44.718,0,38.9,2546.5,2546.5,233,35.1,44.7,SB,205.3,,JR,250,Location 2,Free Practice 1
10,1,17,121,2,24.76,2,32.773,2,41.737,2,122.6,2645.8,2645.8,24.8,32.8,41.7,SB,0,,JR,250,Location 2,Free Practice 1
10,1,18,120,0,35.425,0,48.441,0,44.138,0,95.1,2773.8,2773.8,35.4,48.4,44.1,SB,0,,JR,,Location 2,Free Practice 1
11,1,1,101,0,62.5,0,41.635,0,50.392,0,78.7,154.6,154.6,62.5,41.6,50.4,LGRA,27.9,,AD,,Location 2,Free Practice 1
11,1,2,71,0,28.002,0,36.32,0,52.071,0,104.5,271,271,28,36.3,52.1,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,3,76,0,54.282,0,36.227,0,47.551,0,88.1,409,409,54.3,36.2,47.6,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,4,85,0,27.013,0,34.875,0,44.095,0,114.8,515,515,27,34.9,44.1,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,5,89,0,26.879,0,34.572,0,43.625,0,115.8,620.1,620.1,26.9,34.6,43.6,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,6,101,0,26.714,0,34.919,0,44.243,0,114.9,726,726,26.7,34.9,44.2,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,7,74,0,32.381,0,37.18,0,47.458,0,104,843,843,32.4,37.2,47.5,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,8,98,0,26.86,0,34.771,0,54.937,0,104.4,959.6,959.6,26.9,34.8,54.9,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,9,123,0,26.29,0,33.954,0,42.901,0,118,1062.7,1062.7,26.3,34,42.9,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,10,73,0,26.21,0,33.851,0,42.674,0,118.4,1165.4,1165.4,26.2,33.9,42.7,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,11,149,0,26.519,0,34.141,0,53.237,0,106.8,1279.3,1279.3,26.5,34.1,53.2,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,12,188,0,429.8,0,34.665,0,43.988,0,23.9,1787.8,1787.8,429.8,34.7,44,LGRA,400.4,,AD,,Location 2,Free Practice 1
11,1,13,100,0,26.295,0,33.956,0,48.986,0,111.4,1897.1,1897.1,26.3,34,49,LGRA,0,,AD,235,Location 2,Free Practice 1
11,1,14,94,0,25.412,0,32.752,0,41.738,0,121.8,1997,1997,25.4,32.8,41.7,LGRA,0,,AD,235,Location 2,Free Practice 1
11,1,15,108,0,27.526,0,34.123,0,47.518,0,111.5,2106.1,2106.1,27.5,34.1,47.5,LGRA,0,,AD,,Location 2,Free Practice 1
11,1,16,102,0,364.7,0,35.334,0,54.031,0,26.8,2560.2,2560.2,364.7,35.3,54,LGRA,336.6,,AD,250,Location 2,Free Practice 1
11,1,17,95,3,24.963,2,32.483,2,41.339,3,123.2,2658.9,2658.9,25,32.5,41.3,LGRA,0,,AD,250,Location 2,Free Practice 1
11,1,18,86,0,26.926,0,33.957,0,46.175,0,113.7,2766,2766,26.9,34,46.2,LGRA,0,,AD,,Location 2,Free Practice 1
13,1,1,95,0,48.508,0,40.408,0,47.53,0,89.2,136.4,136.4,48.5,40.4,47.5,ACO,14,,DSo,,Location 2,Free Practice 1
13,1,2,129,0,28.198,0,36.419,0,45.158,0,110.8,246.2,246.2,28.2,36.4,45.2,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,3,98,0,54.317,0,44.766,0,44.434,0,84.8,389.7,389.7,54.3,44.8,44.4,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,4,108,0,27.415,0,35.058,0,43.854,0,114.4,496.1,496.1,27.4,35.1,43.9,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,5,89,0,26.635,0,35.483,0,43.424,0,115.3,601.6,601.6,26.6,35.5,43.4,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,6,69,0,33.513,0,39.032,0,44.684,0,103.8,718.8,718.8,33.5,39,44.7,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,7,110,0,26.543,0,34.076,0,43.191,0,117.2,822.6,822.6,26.5,34.1,43.2,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,8,85,0,35.694,0,43.275,0,54.078,0,91.5,955.7,955.7,35.7,43.3,54.1,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,9,94,0,26.315,0,33.684,0,45.748,0,115.1,1061.4,1061.4,26.3,33.7,45.7,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,10,73,0,28.269,0,33.661,0,49.087,0,109.6,1172.5,1172.5,28.3,33.7,49.1,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,11,93,0,351,0,43.061,0,47.945,0,27.5,1614.5,1614.5,351,43.1,47.9,ACO,315.6,,DSo,,Location 2,Free Practice 1
13,1,12,133,0,26.151,0,33.7,0,42.834,0,118.5,1717.2,1717.2,26.2,33.7,42.8,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,13,84,0,36.484,0,47.609,0,48.999,0,91.4,1850.3,1850.3,36.5,47.6,49,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,14,129,0,25.733,0,33.331,0,42.416,2,119.9,1951.7,1951.7,25.7,33.3,42.4,ACO,0,,DSo,,Location 2,Free Practice 1
13,1,15,141,0,35.766,0,44.815,0,50.046,0,93.2,2082.4,2082.4,35.8,44.8,50,ACO,0,,DSo,235,Location 2,Free Practice 1
13,1,16,176,0,25.33,0,81.7,0,91.8,0,61.2,2281.2,2281.2,25.3,81.7,91.8,ACO,0,,DSo,250,Location 2,Free Practice 1
13,1,17,98,0,128.3,0,42.808,0,55.999,0,53.6,2508.3,2508.3,128.3,42.8,56,ACO,93.4,,DSo,250,Location 2,Free Practice 1
13,1,18,93,2,24.922,2,32.418,3,42.699,0,121.6,2608.4,2608.4,24.9,32.4,42.7,ACO,0,,DSo,250,Location 2,Free Practice 1
13,1,19,157,0,25.759,0,36.366,0,44.472,0,114.1,2715,2715,25.8,36.4,44.5,ACO,0,,DSo,250,Location 2,Free Practice 1
17,1,1,84,0,52.941,0,40.229,0,50.027,0,85,143.2,143.2,52.9,40.2,50,NVR,19.5,,ME,,Location 2,Free Practice 1
17,1,2,72,0,28.128,0,37.275,0,56.525,0,99.8,265.1,265.1,28.1,37.3,56.5,NVR,0,,ME,,Location 2,Free Practice 1
17,1,3,84,0,57.167,0,36.38,0,45.292,0,87.6,404,404,57.2,36.4,45.3,NVR,0,,ME,,Location 2,Free Practice 1
17,1,4,150,0,27.057,0,35.273,0,43.713,0,114.7,510,510,27.1,35.3,43.7,NVR,0,,ME,,Location 2,Free Practice 1
17,1,5,90,0,27.12,0,34.884,0,43.51,0,115.3,615.5,615.5,27.1,34.9,43.5,NVR,0,,ME,,Location 2,Free Practice 1
